,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18
1. open,123.5000,125.0000,126.7300,123.8200,123.5000,122.7100,123.7100,124.5600,125.8200,124.8600,126.4800,129.1000,125.9000,131.1600,126.0700,124.3900,122.6800,122.4000,118.6200,119.7800,115.5000,118.0000,118.0600,119.0000,121.2500,119.6900,120.2700,119.1900,117.9800,118.2600,116.7600,118.3200,122.0100,122.1200,126.1700,123.0000,125.8300,125.0000,119.1900,121.2500,126.0300,132.1500,133.5200,132.2700,133.8900,127.7800,127.1500,125.6700,124.6400,123.6700,126.8700,123.9400,121.3000,119.3700,120.9900,120.9300,121.1900,119.8800,115.9300,114.5700,119.9500,123.0100,121.8100,122.6700,122.9800,123.2400,123.3900,120.8200,123.1900,126.5200,128.8800,128.0300,125.5600,122.4100,119.5700,119.8700,114.0000,119.1500,119.3000,119.0100,119.1200,123.4600,121.6300,120.4800,116.3100,118.8000,110.3500,108.9200,105.3700,106.3600,112.0000,108.0900,108.5800,106.9100,105.4800,99.9900,94.6000,100.9200,102.3300,99.4100
2. high,125.0700,126.2600,126.7500,125.8600,124.4100,122.9900,123.9046,125.9900,126.3400,126.3200,127.6459,129.3700,129.4700,132.1700,127.0700,125.6300,124.4800,123.9600,120.8900,120.9900,118.5700,118.0000,118.6400,119.5100,121.8500,121.4200,121.2300,121.2000,119.7800,118.9900,119.2100,118.3200,122.9000,122.5000,126.8200,124.4000,126.2500,127.5000,122.3700,123.1200,126.1000,132.2300,133.6000,135.8800,134.2300,128.9500,129.6000,126.0000,125.7500,125.1300,126.9700,125.8300,122.6200,119.4700,121.7200,122.4700,122.1700,122.3600,117.3900,117.0900,119.9900,124.3200,123.4500,123.2300,123.2600,124.0500,124.3200,121.9700,123.4700,127.2700,129.3100,128.2000,126.9900,125.0000,123.0300,120.3300,117.1500,122.8600,120.3900,119.7500,120.1900,125.1800,121.8000,122.9200,119.9600,119.5700,115.6300,110.0700,110.3200,109.9200,113.8100,113.4600,111.5000,113.1500,112.4800,106.0400,97.7400,100.9900,103.6900,106.9300
3. low,123.2100,125.0000,124.6100,123.8200,122.1500,121.0900,121.6400,124.0700,124.1500,124.7100,125.5000,127.1500,125.8000,125.8000,125.1400,123.2000,122.1600,122.1500,117.9200,118.6600,115.2900,115.2000,116.4800,117.3300,119.4600,119.2600,118.3700,119.0000,117.3700,116.2600,116.1000,115.8800,119.2300,120.5300,122.2500,122.3300,123.4000,123.1600,118.2900,119.2800,117.8400,129.8000,131.0200,132.2700,131.7500,127.0200,127.0000,124.6600,124.0300,122.2400,124.2200,123.4700,121.0100,117.5900,118.9700,120.6000,120.1400,119.7500,115.2500,111.8100,114.8500,120.2600,120.6700,121.0600,120.8500,122.4100,122.4700,119.3900,121.3900,125.2200,127.5300,125.3800,125.4700,120.7600,119.1200,117.5500,112.0600,118.1400,117.9200,114.4200,116.7600,122.6200,118.0400,120.1700,115.0700,114.8700,110.1300,104.9200,105.1400,104.5200,110.1700,107.8100,107.6500,105.5700,102.8300,99.2600,90.5600,94.7100,98.2400,99.4000
4. close,124.9600,126.1200,125.4500,125.8400,124.3100,122.9400,122.9000,125.3200,124.4700,126.2100,125.7900,127.3300,128.6700,126.0600,126.3700,125.1100,124.0100,123.0000,120.6000,119.2000,118.3500,115.7100,117.7100,117.5800,120.1900,119.7000,118.5400,120.7700,119.7500,117.1900,119.0300,116.4200,119.4100,121.0700,122.4700,124.1600,124.1500,125.1500,121.6500,121.9100,118.0100,129.8700,131.8700,135.7500,132.0600,128.8900,129.0500,126.0000,124.8900,124.9000,124.5300,125.5400,121.7600,118.3900,119.1200,121.3800,120.2900,121.5600,116.9800,116.9500,115.7300,120.2600,122.5900,122.9900,121.2300,123.1700,122.5800,121.6800,121.8700,125.5600,128.6900,126.2700,125.9200,124.7200,121.3500,119.3100,116.7600,120.4100,120.1200,115.7300,118.6900,123.9100,121.1500,121.5000,119.2900,114.9400,114.8200,106.3400,110.0000,105.1400,110.9300,112.9300,108.0300,112.8900,105.8500,105.4800,94.7700,95.3900,100.3400,103.5500
5. adjusted close,124.9600,124.4961,123.8347,124.2197,122.7094,121.3570,121.3175,123.7064,122.8673,124.5849,124.1703,125.6905,127.0132,124.4368,124.7428,123.4991,122.4132,121.4162,119.0471,117.6652,116.8261,114.2201,116.1943,116.0660,118.6424,118.1587,117.0137,119.2149,118.2081,115.6810,117.4973,114.9210,117.8725,119.5111,120.8931,122.5613,122.5514,123.5385,120.0836,120.3403,116.4905,128.1978,130.1720,134.0021,130.3596,127.2304,127.3883,124.3776,123.2819,123.2918,122.9265,123.9235,120.1922,116.8656,117.5862,119.8171,118.7411,119.9948,115.4737,115.4441,114.2398,118.7115,121.0115,121.4064,119.6690,119.9710,119.3963,118.5197,118.7047,122.2989,125.3476,122.9905,122.6495,121.4807,118.1982,116.2112,113.7274,117.2826,117.0002,112.7242,115.6073,120.6917,118.0034,118.3443,116.1917,111.9547,111.8378,103.5781,107.1430,102.4092,108.0489,109.9969,105.2242,109.9580,103.1008,102.7404,92.3086,92.9125,97.7339,100.8605
6. volume,3651226,3417131,3675400,3431366,3526574,5277652,3988062,2833141,4178176,3733547,3531076,4220136,8195366,15364900,9927700,3984600,4330900,4473400,4534400,4650700,4285700,4763000,5192800,4278100,4045400,3745800,4655800,3919500,4159488,10750100,6130600,6751000,6632600,4773500,8099000,2865400,3154200,5606700,5149100,6218100,11763600,4734800,5393600,5370500,5892700,3864800,3917700,2978100,2871700,7930500,3915300,5727500,5469300,4180800,4000900,3840700,3241100,4207600,4786300,5259400,5882800,4784500,3535300,5003900,4412600,3864600,3899400,4017900,4925500,6635800,5257600,4778100,4923800,4987300,6881600,7087900,14349000,8181700,4966000,6457600,5637300,5088700,5119700,5576800,5158600,5595300,7034200,4538800,6328700,6112900,6343300,5564500,6423000,7153500,8654000,7973900,9729400,10546500,8396500,8772500
7. dividend amount,1.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
,2020-08-07,2020-08-06,2020-08-05,2020-08-04,2020-08-03,2020-07-31,2020-07-30,2020-07-29,2020-07-28,2020-07-27,2020-07-24,2020-07-23,2020-07-22,2020-07-21,2020-07-20,2020-07-17,2020-07-16,2020-07-15,2020-07-14,2020-07-13,2020-07-10,2020-07-09,2020-07-08,2020-07-07,2020-07-06,2020-07-02,2020-07-01,2020-06-30,2020-06-29,2020-06-26,2020-06-25,2020-06-24,2020-06-23,2020-06-22,2020-06-19,2020-06-18,2020-06-17,2020-06-16,2020-06-15,2020-06-12,2020-06-11,2020-06-10,2020-06-09,2020-06-08,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-15,2020-05-14,2020-05-13,2020-05-12,2020-05-11,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-01,2020-04-30,2020-04-29,2020-04-28,2020-04-27,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,2020-04-17,2020-04-16,2020-04-15,2020-04-14,2020-04-13,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-20,2020-03-19,2020-03-18
1. open,214.8500,212.3400,214.9000,214.1700,211.5200,204.4000,201.0000,202.5000,203.6100,201.4700,200.4200,207.1900,209.2000,213.6600,205.0000,204.4700,205.4000,209.5600,206.1300,214.4800,213.6200,216.3300,210.0700,210.4500,208.8300,205.6800,203.1400,197.8800,195.7800,199.7300,197.8000,201.6043,202.0900,195.7900,198.5900,194.0000,195.0300,192.8900,184.5800,190.5400,193.1300,191.1250,188.0000,185.9400,182.6200,184.3000,184.8150,184.2500,182.5400,182.7300,180.7400,180.2000,186.3400,183.1900,185.4000,184.8100,185.0300,185.7500,179.0600,177.5400,182.5500,186.9000,183.1500,184.9797,184.1700,182.0800,180.6200,174.4900,175.8000,180.0000,173.2200,175.4556,176.5900,172.0600,174.1100,171.3900,173.5000,176.6300,179.5000,174.3000,171.2000,169.0000,164.3500,166.3600,165.6700,169.5923,160.3200,155.1000,151.8600,153.0000,159.4000,152.4400,151.7500,148.4000,148.9100,143.7500,137.0100,146.0000,142.7700,138.0000
